gi_189490401_ref_YP_001956970.1_	virion structural protein
gi_189490533_ref_YP_001957103.1_	virion structural protein
gi_189490588_ref_YP_001957158.1_	virion structural protein
gi_189490589_ref_YP_001957159.1_	virion structural protein
gi_189490604_ref_YP_001957174.1_	virion structural protein
gi_19424729_ref_NP_598341.1_	minor capsid protein
gi_197085648_ref_YP_002128468.1_	gp34 virion protein
gi_197085649_ref_YP_002128469.1_	gp35 virion protein
gi_19718354_ref_NP_604425.1_	Putative coat protein
gi_198449293_ref_YP_002221447.1_	putative capsid protein
gi_209901240_ref_YP_002290879.1_	putative portal protein
gi_211956457_ref_YP_002302523.1_	capsid protein
gi_211956469_ref_YP_002302535.1_	minor capsid protein
gi_213163914_ref_YP_002321466.1_	putative tail protein a
gi_213163918_ref_YP_002321470.1_	putative tail protein b
gi_213163920_ref_YP_002321472.1_	putative tail protein c
gi_219563205_ref_YP_002455797.1_	major tail protein
gi_219563206_ref_YP_002455798.1_	tail protein
gi_219563208_ref_YP_002455800.1_	tail protein
gi_22091113_ref_NP_665927.1_	capsid protein gpB
gi_22091122_ref_NP_665936.1_	capsid protein CP67
gi_22091123_ref_NP_665937.1_	capsid protein gpA/H
gi_22855194_ref_NP_690807.1_	P8 nucleocapsid shell protein
gi_22855205_ref_NP_690816.1_	P7 procapsid protein
gi_22855208_ref_NP_690819.1_	P1 procapsid protein
gi_22855217_ref_NP_690826.1_	nucleocapsid protein P8
gi_23455809_ref_NP_695160.1_	minor capsid protein
gi_23455815_ref_NP_695154.1_	minor capsid protein
gi_26114635_ref_NP_752644.1_	major coat protein
gi_281199684_ref_YP_003335788.1_	tail tube protein
gi_281306686_ref_YP_003345492.1_	predicted phage virion structural protein
gi_28876188_ref_NP_795415.1_	putative tail protein
gi_311993176_ref_YP_004010042.1_	head outer capsid protein
gi_326424989_ref_YP_004286211.1_	virion structural protein
gi_326425000_ref_YP_004286222.1_	virion structural protein
gi_326784073_ref_YP_004324466.1_	virion structural protein
gi_327198367_ref_YP_004306941.1_	putative tail protein
gi_327198631_ref_YP_004327582.1_	putative minor coat protein
gi_327198632_ref_YP_004327583.1_	putative major coat protein
gi_327198633_ref_YP_004327584.1_	putative minor coat protein
gi_327198634_ref_YP_004327585.1_	putative minor coat protein
gi_343960384_ref_YP_004782210.1_	portal protein
gi_343960449_ref_YP_004782275.1_	tail sheath protein
gi_34419579_ref_NP_899592.1_	baseplate wedge subunit and tail pin
gi_358356852_ref_YP_004934703.1_	terminase large subunit
gi_371496206_ref_YP_004957354.1_	virion structural protein
gi_371671370_ref_YP_004957908.1_	putative tail tube
gi_371671371_ref_YP_004957909.1_	putative major tailsheath
gi_371671372_ref_YP_004957910.1_	putative virion structural protein
gi_371671379_ref_YP_004957917.1_	putative virion structural protein
gi_371671423_ref_YP_004957961.1_	putative virion structural protein
gi_371671425_ref_YP_004957963.1_	putative virion structural protein
gi_371671432_ref_YP_004957970.1_	putative virion structural protein
gi_371671458_ref_YP_004957996.1_	putative virion structural protein
gi_371671460_ref_YP_004957998.1_	putative virion structural protein
gi_371671469_ref_YP_004958007.1_	putative virion structural protein
gi_371671470_ref_YP_004958008.1_	putative virion structural protein
gi_371671471_ref_YP_004958009.1_	putative virion structural protein
gi_371671475_ref_YP_004958013.1_	putative minor virion structural protein
gi_371671476_ref_YP_004958014.1_	putative virion structural protein
gi_371671477_ref_YP_004958015.1_	putative virion structural protein
gi_371671478_ref_YP_004958016.1_	putative virion structural protein
gi_371671482_ref_YP_004958020.1_	putative virion structural protein
gi_371671487_ref_YP_004958025.1_	putative virion structural protein
gi_371671493_ref_YP_004958031.1_	putative major capsid protein
gi_371671501_ref_YP_004958039.1_	putative portal protein
gi_371671510_ref_YP_004958048.1_	putative virion structural protein
gi_371671511_ref_YP_004958049.1_	putative virion structural protein
gi_371671631_ref_YP_004958169.1_	putative virion structural protein
gi_371671634_ref_YP_004958172.1_	putative virion structural protein
gi_371671643_ref_YP_004958181.1_	putative virion structural protein
gi_371671644_ref_YP_004958182.1_	putative virion structural protein
gi_371671649_ref_YP_004958187.1_	putative virion structural protein
gi_371671650_ref_YP_004958188.1_	putative virion structural protein
gi_372449752_ref_YP_005086978.1_	putative tail protein
gi_372449804_ref_YP_005087028.1_	portal protein
gi_372449810_ref_YP_005087034.1_	putative tail protein
gi_372449827_ref_YP_005087050.1_	putative main capsid protein
gi_372450010_ref_YP_005087231.1_	major capsid protein
gi_374531793_ref_YP_005098350.1_	putative phage tail protein
gi_38707688_ref_NP_944848.1_	Putative tail protein
